Name,Genre,ESRB_Rating,Platform,Global_Sales,NA_Sales,Year
FIFA Soccer 64,Sports,E,N64,0.49,0.16,1997
Ace Combat 2,Simulation,T,PS,0.89,0.16,1997
Cart World Series,Racing,E,PS,0.3,0.17,1997
ClayFighter 63 1/3,Fighting,T,N64,0.21,0.17,1997
Riven: The Sequel to Myst,Adventure,E,PS,0.32,0.18,1997
Rally Cross,Racing,E,PS,0.32,0.18,1997
WarCraft II: The Dark Saga,Strategy,T,PS,0.31,0.18,1997
Marvel Super Heroes,Fighting,T,PS,0.34,0.19,1997
Wheel of Fortune,Misc,E,N64,0.25,0.2,1997
MRC: Multi-Racing Championship,Racing,E,N64,0.25,0.2,1997
MechWarrior 2: 31st Century Combat,Simulation,E,PS,0.36,0.2,1997
Big Bass World Championship,Sports,E,PS,0.36,0.2,1997
Nightmare Creatures,Action,M,N64,0.26,0.21,1997
Command & Conquer,Strategy,T,PS,0.4,0.22,1997
Wayne Gretzky's 3D Hockey '98,Sports,E,N64,0.25,0.23,1997
War Gods,Fighting,M,N64,0.29,0.23,1997
Command & Conquer: Red Alert,Strategy,T,PS,0.41,0.23,1997
Colony Wars,Simulation,E,PS,0.42,0.24,1997
Alien Trilogy,Shooter,M,PS,0.47,0.24,1997
Mischief Makers,Platform,E,N64,0.43,0.25,1997
Independence Day,Shooter,E,PS,0.44,0.25,1997
PaRappa The Rapper,Misc,E,PS,1.92,0.26,1997
Wild ARMs,Role-Playing,E,PS,0.95,0.26,1997
Automobili Lamborghini,Racing,E,N64,0.47,0.28,1997
Virtual Pool,Sports,E,PS,0.51,0.28,1997
NHL FaceOff 98,Sports,E,PS,0.51,0.28,1997
Street Fighter EX Plus Alpha,Fighting,T,PS,0.75,0.28,1997
Tetrisphere,Puzzle,E,N64,0.36,0.29,1997
Top Gear Rally,Racing,E,N64,0.4,0.32,1997
Mortal Kombat Mythologies: Sub-Zero,Fighting,M,N64,0.4,0.32,1997
Duke Nukem: Total Meltdown,Shooter,M,PS,0.61,0.34,1997
NBA ShootOut '97,Sports,E,PS,0.62,0.35,1997
Nightmare Creatures,Action,M,PS,0.63,0.35,1997
Duke Nukem 64,Shooter,M,N64,0.44,0.35,1997
Mortal Kombat Mythologies: Sub-Zero,Platform,M,PS,0.68,0.38,1997
Doom 64,Shooter,M,N64,0.47,0.38,1997
Time Crisis,Shooter,T,PS,1.68,0.38,1997
Blast Corps,Action,E,N64,0.71,0.39,1997
NCAA Football 98,Sports,E,PS,0.7,0.39,1997
Bushido Blade,Fighting,T,PS,1.16,0.39,1997
Need for Speed: V-Rally,Racing,E,PS,0.87,0.43,1997
Battle Stations,Strategy,E,PS,0.78,0.43,1997
Mega Man 8 Anniversary Collector's Edition,Platform,E,PS,0.88,0.44,1997
Mega Man X4,Platform,E,PS,1.04,0.45,1997
Moto Racer,Racing,E,PS,0.8,0.45,1997
Extreme-G,Racing,E,N64,0.59,0.47,1997
Rampage World Tour,Action,T,PS,0.85,0.47,1997
NBA Hangtime,Sports,E,N64,0.57,0.48,1997
Bomberman 64,Puzzle,E,N64,1.04,0.5,1997
NHL 98,Sports,E,PS,0.92,0.51,1997
The Lost World: Jurassic Park,Action,T,PS,1.02,0.57,1997
Castlevania: Symphony of the Night,Platform,T,PS,1.27,0.58,1997
Triple Play 98,Sports,E,PS,1.1,0.61,1997
Soul Blade,Fighting,T,PS,1.59,0.61,1997
San Francisco Rush: Extreme Racing,Racing,E,N64,0.75,0.63,1997
Test Drive: Off Road,Racing,E,PS,1.16,0.65,1997
Nuclear Strike,Simulation,T,PS,1.19,0.66,1997
Test Drive 4,Racing,E,PS,1.21,0.67,1997
Fighting Force,Action,T,PS,1.32,0.73,1997
Oddworld: Abe's Oddysee,Platform,T,PS,1.24,0.75,1997
Madden Football 64,Sports,E,N64,0.86,0.81,1997
NFL Quarterback Club 98,Sports,E,N64,1.06,1.01,1997
Monopoly,Misc,E,PS,1.51,1.18,1997
Madden NFL 98,Sports,E,PS,1.35,1.29,1997
WCW vs. nWo: World Tour,Fighting,E,N64,1.69,1.37,1997
Jet Moto 2,Racing,E,PS,1.94,1.41,1997
NBA Live 98,Sports,E,PS,1.51,1.41,1997
NASCAR 98,Racing,E,PS,1.52,1.43,1997
Cool Boarders 2,Sports,E,PS,2.25,1.52,1997
Croc: Legend of the Gobbos,Platform,E,PS,3.56,1.57,1997
NFL GameDay 98,Sports,E,PS,1.68,1.58,1997
Namco Museum Vol.3,Misc,E,PS,4.05,2.28,1997
Theme Hospital,Strategy,E,PC,2.4,2.3,1997
Tomb Raider II,Adventure,T,PS,5.24,2.3,1997
